Protein A;Gene A;Protein B;Gene B;Score;PMID
Q6ZQ18;EFR3B;E9Q6P5;TTC7B {ECO:0000312|MGI:MGI:2144724};0.376;23229899 
E9Q735;E9Q735;E9Q735;E9Q735;0.332;11435423 
Q9JIF0;PRMT1;Q91VM5;RBMXL1;0.21;19858291 
Q9QYI3;DNAJC7;E9Q735;E9Q735;0.454;15189447 
Q99MP8;BRAP;E9Q7G0;NUMA1 {ECO:0000312|MGI:MGI:2443665};0.376;23707952 
Q62101;PRKD1;E9Q9K8;E9Q9K8;0.21;23540699 
Q8VCC8;RAPGEF3;E9Q9K8;E9Q9K8;0.376;23540699 
Q9JIF0;PRMT1;O35182;SMAD6;0.236;17118358 
Q9JID9;SH2B2;Q60631;GRB2;0.21;9989826 
Q9JID9;SH2B2;Q6P549;INPPL1;0.21;17620296 
O09106;HDAC1;E9QAG8;ZNF431;0.376;21177534 
P70288;HDAC2;E9QAG8;ZNF431;0.569;21177534 
P29037;TBP;E9QAP7;TAF4A;0.376;21552207 
Q02650;PAX5;E9QAP7;TAF4A;0.21;21552207 
Q6PDG5;SMARCC2;E9QAP7;TAF4A;0.21;21552207 
Q9JIF0;PRMT1;Q8K2F8;LSM14A;0.21;19858291 
Q9JIF0;PRMT1;Q8VEK3;HNRNPU;0.21;19858291 
Q62421;SH3GL3;F2Z3U3;F2Z3U3;0.21;24076656 
Q9JII7;ZFAND2A;P63017;HSPA8;0.21;16973439 
Q9JIF0;PRMT1;Q9D6Z1;NOP56;0.21;19858291 
Q9JIF3;SLC2A8;P22892;AP1G1;0.21;19523115 
Q9JIF0;PRMT1;Q9CY58;SERBP1;0.21;19858291 
Q9JIF3;SLC2A8;P17047;LAMP2;0.126;19523115 
Q9JKB3;YBX3;Q9JIF0;PRMT1;0.21;19858291 
Q9JIF3;SLC2A8;P11438;LAMP1;0.126;19523115 
Q9JIF7;COPB1;P47811;MAPK14;0.183;15102471 
Q9JII7;ZFAND2A;P26516;PSMD7;0.21;16973439 
Q9JIF7;COPB1;E9Q401;RYR2;0.183;15102471 
Q9JIF3;SLC2A8;Q9DBG3;AP2B1;0.21;19523115 
Q9JIP4;PANX1;Q9EPB4;PYCARD;0.21;25327779 
Q9JHU4;DYNC1H1;O35685;NUDC;0.21;11734602 
Q9JII7;ZFAND2A;Q8VDM4;PSMD2;0.21;16973439 
Q9JIW5;SMAD9;P97302;BACH1;0.21;16101586 
Q9JIK5;DDX21;Q8K3Y3;LIN28A;0.21;19713958 
Q9JIP4;PANX1;P97382;KCNAB3;0.376;19780818 
Q9JIP3;IL17RB;P70196;TRAF6;0.21;23355738 
Q9JIL4;PDZK1;Q61983;SLC17A1;0.309;11099500 
Q9JIP4;PANX1;P29452;CASP1;0.21;25327779 
Q9JIW5;SMAD9;P70689;GJB6;0.21;16101586 
Q8VD04;GRIPAP1;A3KBF5;MAPK8;0.376;17761173 
P14733;LMNB1;A3KGF7;PLCB2;0.183;15102471 
P33609;POLA1;A3KGF7;PLCB2;0.183;15102471 
Q9CXF4;TBC1D15;A3KGF7;PLCB2;0.183;15102471 
Q9JIP6;FZD2;Q62108;DLG4;0.21;12067714 
Q9JIW5;SMAD9;P50540;MXI1;0.21;16101586 
Q9JI33;NTN4;Q9JI33;NTN4;0.332;17588941 
Q9JIW5;SMAD9;P49135;ERCC3;0.21;16101586 
Q9JIW5;SMAD9;O89091;KLF10;0.21;16101586 
Q9JIW5;SMAD9;O88685;PSMC3;0.21;16101586 
F6SEU4;SYNGAP1;A2AI21;GRIN1;0.126;28706196 
F6SEU4;SYNGAP1;A4GZ26;IQSEC2;0.126;28706196 
F6SEU4;SYNGAP1;B1AS06;B1AS06;0.126;28706196 
F6SEU4;SYNGAP1;D3YUS5;D3YUS5;0.126;28706196 
F6SEU4;SYNGAP1;D3YX85;D3YX85;0.126;28706196 
F6SEU4;SYNGAP1;D3YZU5;D3YZU5;0.126;28706196 
F6SEU4;SYNGAP1;D3Z1M1;D3Z1M1;0.126;28706196 
F6SEU4;SYNGAP1;D3Z3G6;D3Z3G6;0.126;28706196 
F6SEU4;SYNGAP1;E9Q2H1;E9Q2H1;0.126;28706196 
F6SEU4;SYNGAP1;E9Q3K3;E9Q3K3;0.126;28706196 
F6SEU4;SYNGAP1;E9QMC2;E9QMC2;0.126;28706196 
F6V513;F6V513;F6SEU4;SYNGAP1;0.126;28706196 
F6VQZ6;F6VQZ6;F6SEU4;SYNGAP1;0.126;28706196 
F7CCX1;F7CCX1;F6SEU4;SYNGAP1;0.126;28706196 
H3BKR2;H3BKR2;F6SEU4;SYNGAP1;0.126;28706196 
P62821;RAB1A;F6SEU4;SYNGAP1;0.126;27507650 
P62874;GNB1;F6SEU4;SYNGAP1;0.126;28706196 
P62880;GNB2;F6SEU4;SYNGAP1;0.126;28706196 
Q02248;CTNNB1;F6SEU4;SYNGAP1;0.126;27507650 
Q3UH99;SHISA6;F6SEU4;SYNGAP1;0.126;28706196 
Q3UHJ0;AAK1;F6SEU4;SYNGAP1;0.126;28706196 
Q3UTJ2;SORBS2;F6SEU4;SYNGAP1;0.126;28706196 
Q3UVU8;Q3UVU8;F6SEU4;SYNGAP1;0.126;28706196 
Q3UVX5;GRM5;F6SEU4;SYNGAP1;0.126;28706196 
Q63844;MAPK3;F6SEU4;SYNGAP1;0.126;28706196 
Q6R0H6;GNAS;F6SEU4;SYNGAP1;0.126;28706196 
Q6R0H7;GNAS;F6SEU4;SYNGAP1;0.126;28706196 
Q7SIG6;ASAP2;F6SEU4;SYNGAP1;0.126;28706196 
Q80YA9;CNKSR2;F6SEU4;SYNGAP1;0.332;28671696 27507650 
Q8BXK8;AGAP1;F6SEU4;SYNGAP1;0.126;28706196 
Q8K1M3;PRKAR2A;F6SEU4;SYNGAP1;0.126;28706196 
Q9QVP9;PTK2B;F6SEU4;SYNGAP1;0.126;28706196 
Q9Z0F1;GNAS;F6SEU4;SYNGAP1;0.126;28706196 
P35441;THBS1;F6VAN0;ATF6;0.21;22682248 
Q9JJZ6;KLF13;O09106;HDAC1;0.309;11477107 
Q9WV60;GSK3B;Q9JIY0;PLEKHO1;0.21;24777252 
Q9JIY0;PLEKHO1;Q9D8C4;IFI35;0.454;17197158 
P34152;PTK2;F8WI90;F8WI90;0.21;10931187 
O55143;ATP2A2;G5E829;ATP2B1;0.21;16352659 
P70227;ITPR3;G5E829;ATP2B1;0.21;16352659 
P40645;SOX6;G5E870;TRIP12;0.21;23663701 
Q8BIL5;HOOK1;G5E8K5;ANK3;0.376;15823567 
Q9JIY5;HTRA2;O08808;DIAPH1;0.309;12815069 
Q9JIY2;CBLL1;Q60598;CTTN;0.21;22252131 
Q9JIY0;PLEKHO1;O35309;NMI;0.454;17197158 
Q9JIY5;HTRA2;A2AWP0;BIRC7;0.309;12815069 
Q9JIY5;HTRA2;Q62210;BIRC2;0.309;12815069 
Q9JJY9;IL22;Q9JJY9;IL22;0.332;22776321 
Q9JJ28;FLII;Q6PHZ2;CAMK2D;0.376;18588881 
Q9JJ11;TACC3;Q9JJ11;TACC3;0.332;15234987 
Q9JJ28;FLII;P28652;CAMK2B;0.21;18588881 
Q5EE38;ACD;H7BX60;POT1B;0.21;22748632 
Q5SUQ9;CTC1;H7BX60;POT1B;0.21;22748632 
Q8K2X3;OBFC1;H7BX60;POT1B;0.376;22748632 
Q9D7K2;TEN1;H7BX60;POT1B;0.21;22748632 
Q9WU42;NCOR2;Q9JJY4;DDX20;0.309;12007404 
Q9JJ66;CDC20;Q7TSG3;FBXO5;0.21;22084091 
Q9JJ66;CDC20;P62991;UBA52;0.033;16878123 
Q9JJ66;CDC20;Q8K0X8;FEZ1;0.376;24726361 
Q9JJ66;CDC20;Q8BZQ7;ANAPC2;0.21;22084091 
Q9JJ66;CDC20;Q8CFN5;MEF2C;0.21;25789873 
Q9JJ66;CDC20;Q8VDQ8;SIRT2;0.332;22014574 
Q9Z1S0;BUB1B;Q9JJ66;CDC20;0.21;24726361 
Q9WVM3;ANAPC7;Q9JJ66;CDC20;0.21;22084091 
Q9WVS7;MAP2K5;Q9JJK2;LANCL2;0.183;15102471 
Q9JJJ7;PORCN;P17553;WNT3;0.21;10866835 
Q9JJA2;COG8;Q99N72;MCF2;0.183;15102471 
Q9QXJ2;STAT2;Q9JJ94;SSNA1;0.332;15102471 
Q9JJJ7;PORCN;P04426;WNT1;0.21;10866835 
Q9JJA9;GRASP;P63034;CYTH2;0.21;10828067 
Q9JJA4;WDR12;Q01705;NOTCH1;0.309;11827460 
Q9JJA9;GRASP;O08967;CYTH3;0.21;10828067 
Q9JJG5;SERTAD2;Q924Z4;CERS2;0.183;20211142 
Q9JJF9;SPPL2A;P17047;LAMP2;0.126;21896273 
Q9JJJ7;PORCN;P28047;WNT7B;0.21;10866835 
Q9JJJ7;PORCN;P22727;WNT6;0.21;10866835 
Q9JJJ7;PORCN;P22724;WNT4;0.21;10866835 
Q9JJJ7;PORCN;P22726;WNT5B;0.21;10866835 
Q9JJJ7;PORCN;P22725;WNT5A;0.21;10866835 
Q9JJJ7;PORCN;P27467;WNT3A;0.21;10866835 
Q9JJJ7;PORCN;P24383;WNT7A;0.21;10866835 
Q9JJY4;DDX20;Q8R4Z4;ETV3;0.454;12007404 
Q9JJR7;ASCL3;Q9JJR7;ASCL3;0.332;11784080 
Q9JJK5;HERPUD1;O35245;PKD2;0.376;18178578 
Q9JJN0;POLH;P17918;PCNA;0.309;22244149 
Q9JJK5;HERPUD1;P57716;NCSTN;0.376;21600962 
Q9JJR5;AKIP1;P63001;RAC1;0.21;17227220 
Q9JJP2;TP73;Q91Y86;MAPK8;0.21;15483136 
Q9JJP2;TP73;Q9JJP2;TP73;0.21;20211142 
Q9JJV2;PFN2;P60710;ACTB;0.376;17541406 9463375 
Q9JJV2;PFN2;P28660;NCKAP1;0.21;9463375 
Q9JJU6;BRAF;P32883;KRAS;0.183;15102471 
Q9JJV2;PFN2;P17879;HSPA1B;0.21;9463375 
Q9JJV2;PFN2;O88935;SYN1;0.21;9463375 
Q9JJY4;DDX20;Q60520;SIN3A;0.309;12007404 
Q9JJV2;PFN2;Q8R5H6;WASF1;0.21;17541406 
Q9JJV2;PFN2;P62962;PFN1;0.21;16319076 
Q9JJV2;PFN2;Q7TMB8;CYFIP1;0.21;9463375 
Q9JJV2;PFN2;P70336;ROCK2;0.21;9463375 
Q9JJV2;PFN2;Q64332;SYN2;0.21;9463375 
Q9JJV2;PFN2;P70460;VASP;0.454;16319076 
Q9JJV2;PFN2;Q03173;ENAH;0.21;16319076 
Q9JJY4;DDX20;P70288;HDAC2;0.309;12007404 
Q9JJV9;SCN5A;P46935;NEDD4;0.523;15123669 
Q9QYX7;PCLO;Q9JJV2;PFN2;0.21;10508862 
Q9JKV1;ADRM1;O55234;PSMB5;0.081;23706739 
Q9JK38;GNPNAT1;E9PZQ0;RYR1;0.183;15102471 
Q9QWF0;CHAF1A;O09106;HDAC1;0.126;26365490 
Q9QUK6;TLR4;E9Q4P1;WDFY1;0.21;25736436 
Q9QWF0;CHAF1A;O08810;EFTUD2;0.126;26365490 
Q9QUG2;POLK;P0CG50;UBC;0.376;18162470 
Q9QUG3;PRND;P04925;PRNP;0.309;16766127 
Q9R007;CLEC5A;Q9QUJ0;HCST;0.21;19251634 
Q9QUI0;RHOA;P27671;RASGRF1;0.21;17993462 
Q9QUI0;RHOA;O88643;PAK1;0.21;18541910 
Q9QUI0;RHOA;P30999;CTNND1;0.21;17993462 
Q9QUI0;RHOA;P46414;CDKN1B;0.21;17581634 
Q9QUI0;RHOA;Q08460;KCNMA1;0.236;19423573 
Q9QUI0;RHOA;Q91Z69;SRGAP1;0.21;11672528 
Q9QUI0;RHOA;Q66T02;PLEKHG5;0.309;16467373 
Q9QUJ0;HCST;O54709;KLRK1;0.507;12426564 12426565 
Q9QUN3;BLNK;O89100;GRAP2;0.554;12176364 15102471 
Q9QUK6;TLR4;O88597;BECN1;0.21;18772134 
Q9QUK6;TLR4;O08863;BIRC3;0.376;19898473 
Q9QUK6;TLR4;O88522;IKBKG;0.21;19898473 
Q9QUK6;TLR4;P70196;TRAF6;0.376;19898473 23962979 
Q9QUK6;TLR4;P0CG50;UBC;0.21;17618294 
Q9QUK6;TLR4;P61089;UBE2N;0.21;19898473 
Q9QUK6;TLR4;Q6PJ50;Q6PJ50;0.126;25187624 
Q9QUK6;TLR4;Q62073;MAP3K7;0.21;19898473 
Q9QUK6;TLR4;Q60803;TRAF3;0.21;19898473 
Q9QUK6;TLR4;Q62210;BIRC2;0.21;19898473 
Q9QUK6;TLR4;Q62406;IRAK1;0.21;18562480 
Q9QWF0;CHAF1A;G5E870;TRIP12;0.126;26365490 
Q9QUK6;TLR4;Q8BJQ4;TICAM2;0.309;19378012 
Q9QUK6;TLR4;Q99JY1;TIRAP;0.309;19378012 
Q9QUK6;TLR4;Q920G3;SIGLEC5;0.126;25187624 
Q9QUK6;TLR4;Q8BQ47;CNPY4;0.21;16338228 
Q9QUK6;TLR4;Q8R4K2;IRAK4;0.21;18772134 
Q9QUK6;TLR4;Q9QUK6;TLR4;0.236;21628003 
Q9Z0H7;BCL10;Q9QUK6;TLR4;0.376;16831874 15213237 
Q9QUM4;SLAMF1;Q45HK4;SH2D1B2;0.21;16425036 
Q9QUQ5;TRPC4;P49817;CAV1;0.376;17416589 
Q9QUN3;BLNK;Q99LJ5;CMTM3;0.376;15087455 
Q9QUN3;BLNK;P63085;MAPK1;0.21;15087455 
Q9QUN3;BLNK;Q03526;ITK;0.21;10556826 
Q9QUQ5;TRPC4;P11881;ITPR1;0.21;17416589 
Q9QUN9;DKK3;Q62406;IRAK1;0.183;15102471 
Q9QWF0;CHAF1A;B2RQC6;CAD;0.126;26365490 
Q9QUQ5;TRPC4;P70227;ITPR3;0.376;17416589 
Q9QUQ5;TRPC4;P70441;SLC9A3R1;0.21;10980202 
Q9QUR7;PIN1;P08046;EGR1;0.21;19995909 
Q9QUR7;PIN1;P02340;TP53;0.376;21741598 
Q9QUQ5;TRPC4;Q61056;TRPC1;0.21;17416589 
Q9QWF0;CHAF1A;A2BH40;ARID1A;0.126;26365490 
Q9QUR7;PIN1;Q3UVX5;GRM5;0.21;23911326 
Q9QUR7;PIN1;P70314;PITX1;0.21;19995909 
Q9QUR7;PIN1;Q02248;CTNNB1;0.21;19995909 
Q9QUS4;HEY2;Q7TS99;HELT;0.21;14764602 
Q9QUS4;HEY2;Q61039;HAND2;0.21;10924525 
Q9QUR7;PIN1;Q8VBV4;FBXW7;0.376;22608923 
Q9QVP9;PTK2B;P05480;SRC;0.376;11274221 14739300 
Q9QWF0;CHAF1A;A2BE28;LAS1L;0.126;26365490 
Q9QWF0;CHAF1A;A2AN08;UBR4;0.126;26365490 
Q9QVP9;PTK2B;P97465;DOK1;0.21;10823839 
Q9QWF0;CHAF1A;Q9CQR6;PPP6C;0.126;26365490 
Q9QWF0;CHAF1A;P70399;TP53BP1;0.126;26365490 
Q9QWF0;CHAF1A;O88543;COPS3;0.126;26365490 
Q9QWF0;CHAF1A;O54916;REPS1;0.126;26365490 
Q9QWF0;CHAF1A;O35864;COPS5;0.126;26365490 
Q9QWF0;CHAF1A;P28660;NCKAP1;0.126;26365490 
Q9QWF0;CHAF1A;O70405;ULK1;0.126;26365490 
Q9QWF0;CHAF1A;O70194;EIF3D;0.126;26365490 
Q9QWF0;CHAF1A;P26231;CTNNA1;0.126;26365490 
Q9QWF0;CHAF1A;P05063;ALDOC;0.126;26365490 
Q9QWF0;CHAF1A;O88544;COPS4;0.126;26365490 
Q9QWF0;CHAF1A;O88545;COPS6;0.126;26365490 
Q9QWF0;CHAF1A;P23116;EIF3A;0.126;26365490 
Q9QWF0;CHAF1A;P09803;CDH1;0.126;26365490 
Q9QWF0;CHAF1A;P17918;PCNA;0.126;26365490 
Q9QWF0;CHAF1A;Q61937;NPM1;0.126;26365490 
Q9QWF0;CHAF1A;P70398;USP9X;0.126;26365490 
Q9QWF0;CHAF1A;P43247;MSH2;0.126;26365490 
Q9QWF0;CHAF1A;P35601;RFC1;0.126;26365490 
Q9QWF0;CHAF1A;P37913;LIG1;0.126;26365490 
Q9QWF0;CHAF1A;P54276;MSH6;0.126;26365490 
Q9QWF0;CHAF1A;P49717;MCM4;0.126;26365490 
Q9QWF0;CHAF1A;P48754;BRCA1;0.126;26365490 
Q9QWF0;CHAF1A;P70288;HDAC2;0.236;26365490 
Q9QWF0;CHAF1A;P61965;WDR5;0.126;26365490 
Q9QWF0;CHAF1A;P60122;RUVBL1;0.126;26365490 
Q9QWF0;CHAF1A;P60229;EIF3E;0.126;26365490 
Q9JK42;PDK2;O08908;PIK3R2;0.183;15102471 
Q9QWF0;CHAF1A;P63017;HSPA8;0.126;26365490 
Q9JK42;PDK2;E9PZQ0;RYR1;0.183;15102471 
Q9QWF0;CHAF1A;P62137;PPP1CA;0.126;26365490 
Q9QWF0;CHAF1A;P62806;HIST4H4;0.126;26365490 
Q9QWF0;CHAF1A;P84228;HIST2H3C2;0.126;26365490 
Q9QWF0;CHAF1A;P70698;CTPS1;0.126;26365490 
Q9QWF0;CHAF1A;Q04692;SMARCAD1;0.126;26365490 
Q9QWF0;CHAF1A;Q61699;HSPH1;0.126;26365490 
Q9QWF0;CHAF1A;Q01405;SEC23A;0.126;26365490 
Q9QWF0;CHAF1A;P97310;MCM2;0.126;26365490 
Q9QWF0;CHAF1A;P97311;MCM6;0.126;26365490 
Q9QWF0;CHAF1A;P97496;SMARCC1;0.126;26365490 
Q9QWF0;CHAF1A;Q61539;ESRRB;0.126;26365490 
Q9QWF0;CHAF1A;Q5SVQ0;KAT7;0.126;26365490 
Q9QWF0;CHAF1A;Q3TKT4;SMARCA4;0.126;26365490 
Q9QWF0;CHAF1A;Q3TLH4;PRRC2C;0.126;26365490 
Q9QWF0;CHAF1A;Q505D1;ANKRD28;0.126;26365490 
Q9QWF0;CHAF1A;Q3UMY5;EML4;0.126;26365490 
Q9QWF0;CHAF1A;Q4VBE8;WDR18;0.126;26365490 
Q9QWF0;CHAF1A;Q61466;SMARCD1;0.126;26365490 
Q9QWF0;CHAF1A;Q60972;RBBP4;0.126;26365490 
Q9QWF0;CHAF1A;Q5SWD9;TSR1;0.126;26365490 
Q9QWF0;CHAF1A;Q60520;SIN3A;0.126;26365490 
Q9QWF0;CHAF1A;Q61216;MRE11A;0.126;26365490 
Q9QWF0;CHAF1A;Q60973;RBBP7;0.126;26365490 
Q9QWF0;CHAF1A;Q61074;PPM1G;0.126;26365490 
Q9QWF0;CHAF1A;Q6PDQ2;CHD4;0.126;26365490 
Q9QWF0;CHAF1A;Q9CQE6;ASF1A;0.236;26365490 
Q9QWF0;CHAF1A;Q8C796;RCOR2;0.126;26365490 
Q9QWF0;CHAF1A;Q6P4T2;SNRNP200;0.126;26365490 
Q9QWF0;CHAF1A;Q7TMY8;HUWE1;0.126;26365490 
Q9QWF0;CHAF1A;Q7TMB8;CYFIP1;0.126;26365490 
Q9JK48;SH3GLB1;Q7TQF7;AMPH;0.309;12456676 
Q9QWF0;CHAF1A;Q6ZQ38;CAND1;0.126;26365490 
Q9JK48;SH3GLB1;O08539;BIN1;0.309;12456676 
Q9QWF0;CHAF1A;Q6PR54;RIF1;0.126;26365490 
Q9QWF0;CHAF1A;Q6ZQ88;KDM1A;0.236;26365490 
Q9QWF0;CHAF1A;Q6ZQ73;CAND2;0.126;26365490 
Q9QWF0;CHAF1A;Q8BGZ4;CDC23;0.126;26365490 
Q9QWF0;CHAF1A;Q80TP3;UBR5;0.126;26365490 
Q9QWF0;CHAF1A;Q7TNB8;SBNO2;0.126;26365490 
Q9QWF0;CHAF1A;Q7TT37;IKBKAP;0.126;26365490 
Q9JK48;SH3GLB1;P39053;DNM1;0.309;12456676 
Q9QWF0;CHAF1A;Q8BGF3;WDR92;0.126;26365490 
Q9QWF0;CHAF1A;Q80WQ2;VAC14;0.126;26365490 
Q9QWF0;CHAF1A;Q80YE7;DAPK1;0.126;26365490 
Q9QWF0;CHAF1A;Q8BK67;RCC2;0.126;26365490 
Q9QWF0;CHAF1A;Q8BHG1;NRD1;0.126;26365490 
Q9QWF0;CHAF1A;Q8BK58;HSPBAP1;0.126;26365490 
Q9QWF0;CHAF1A;Q8BX22;SALL4;0.126;26365490 
Q9QWF0;CHAF1A;Q8BTZ4;ANAPC5;0.126;26365490 
Q9QWF0;CHAF1A;Q8BQM4;HEATR3;0.126;26365490 
Q9QWF0;CHAF1A;Q8K4Z5;SF3A1;0.126;26365490 
Q9QWF0;CHAF1A;Q8CHY6;GATAD2A;0.126;26365490 
Q9QWF0;CHAF1A;Q9CPP0;NPM3;0.126;26365490 
Q9QWF0;CHAF1A;Q8JZQ9;EIF3B;0.126;26365490 
Q9QWF0;CHAF1A;Q8K4B0;MTA1;0.126;26365490 
Q9QWF0;CHAF1A;Q8K1J5;SDE2;0.126;26365490 
Q9QWF0;CHAF1A;Q8K0T0;RTN1;0.126;26365490 
Q9QWF0;CHAF1A;Q99PV0;PRPF8;0.126;26365490 
Q9QWF0;CHAF1A;Q91YR7;PRPF6;0.126;26365490 
Q9QWF0;CHAF1A;Q8R349;CDC16;0.126;26365490 
Q9QWF0;CHAF1A;Q8QZY1;EIF3L;0.126;26365490 
Q9QWF0;CHAF1A;Q8R1B4;EIF3C;0.126;26365490 
Q9QWF0;CHAF1A;Q91WN1;DNAJC9;0.126;26365490 
Q9QWF0;CHAF1A;Q8VBV7;COPS8;0.126;26365490 
Q9QWF0;CHAF1A;Q91WK2;EIF3H;0.126;26365490 
Q9QWF0;CHAF1A;Q99NH0;ANKRD17;0.126;26365490 
Q9QWF0;CHAF1A;Q923E4;SIRT1;0.126;26365490 
Q9QWF0;CHAF1A;Q91ZW3;SMARCA5;0.126;26365490 
Q9QWF0;CHAF1A;Q922D4;PPP6R3;0.126;26365490 
Q9QWF0;CHAF1A;Q99L47;ST13;0.126;26365490 
Q9QWF0;CHAF1A;Q924K8;MTA3;0.126;26365490 
Q9QWF0;CHAF1A;Q99JX4;EIF3M;0.126;26365490 
Q9Z2N8;ACTL6A;Q9QWF0;CHAF1A;0.126;26365490 
Q9QWF0;CHAF1A;Q9EPU4;CPSF1;0.126;26365490 
Q9QWF0;CHAF1A;Q9D902;GTF2E2;0.126;26365490 
Q9QWF0;CHAF1A;Q9D0F6;RFC5;0.126;26365490 
Q9QWF0;CHAF1A;Q9CU65;ZMYM2;0.126;26365490 
Q9QWF0;CHAF1A;Q9D662;SEC23B;0.126;26365490 
Q9QWF0;CHAF1A;Q9D0N7;CHAF1B;0.126;26365490 
Q9QWF0;CHAF1A;Q9D554;SF3A3;0.126;26365490 
Q9QWF0;CHAF1A;Q9EPL8;IPO7;0.126;26365490 
Q9QWF0;CHAF1A;Q9DBR0;AKAP8;0.126;26365490 
Q9QWF0;CHAF1A;Q9DAP7;ASF1B;0.236;26365490 
Q9QWF0;CHAF1A;Q9DBD5;PELP1;0.126;26365490 
Q9QWF0;CHAF1A;Q9DCH4;EIF3F;0.126;26365490 
Q9QWF0;CHAF1A;Q9DBR7;PPP1R12A;0.126;26365490 
Q9QWF0;CHAF1A;Q9DBZ5;EIF3K;0.126;26365490 
Q9Z1Z0;USO1;Q9QWF0;CHAF1A;0.126;26365490 
Q9WTM5;RUVBL2;Q9QWF0;CHAF1A;0.126;26365490 
Q9QXE7;TBL1X;Q9QWF0;CHAF1A;0.126;26365490 
Q9QWF0;CHAF1A;Q9ERU9;RANBP2;0.126;26365490 
Q9QWF0;CHAF1A;Q9JJY4;DDX20;0.126;26365490 
Q9R1X4;TIMELESS;Q9QWF0;CHAF1A;0.126;26365490 
Q9QZD9;EIF3I;Q9QWF0;CHAF1A;0.126;26365490 
Q9R0Q7;PTGES3;Q9QWF0;CHAF1A;0.126;26365490 
Q9Z1D1;EIF3G;Q9QWF0;CHAF1A;0.126;26365490 
Q9WUD1;STUB1;Q9QWF0;CHAF1A;0.126;26365490 
Q9WTQ5;AKAP12;Q9QWF0;CHAF1A;0.126;26365490 
Q9WTZ0;UXT;Q9QWF0;CHAF1A;0.126;26365490 
Q9Z0X1;AIFM1;Q9QWF0;CHAF1A;0.126;26365490 
Q9WUK4;RFC2;Q9QWF0;CHAF1A;0.126;26365490 
Q9Z0U1;TJP2;Q9QWF0;CHAF1A;0.126;26365490 
Q9QWH1;PHC2;Q8CIH5;PLCG2;0.183;15102471 
Q9QWH1;PHC2;P25916;BMI1;0.454;19369945 12183370 
Q9QWH1;PHC2;O35730;RING1;0.309;12183370 
Q9QWI6;SRCIN1;Q61166;MAPRE1;0.21;19146815 
Q9QWH1;PHC2;Q64028;PHC1;0.376;16024804 
Q9QWI6;SRCIN1;P05480;SRC;0.21;19146815 
Q9QWL7;KRT17;Q3U0V2;TRADD;0.376;16702408 
Q9QWI6;SRCIN1;Q8R001;MAPRE2;0.21;19146815 
Q9QWL7;KRT17;O70456;SFN;0.309;16710422 
Q9QWK4;CD5L;P19096;FASN;0.21;23236605 
Q9QWL7;KRT17;Q9DCV7;KRT7;0.236;11591653 
Q9QWW1;HOMER2;Q9QUI0;RHOA;0.21;10493740 
Q9QWW1;HOMER2;Q62277;SYP;0.126;10493740 
Q9QWW1;HOMER2;P97772;GRM1;0.21;10493740 
Q9QWV4;MLF1;Q9D0M5;DYNLL2;0.309;12176995 
Q9QWV4;MLF1;Q9CXW3;CACYBP;0.309;12176995 
Q9QWW1;HOMER2;P63001;RAC1;0.21;10493740 
Q9QWV9;CCNT1;Q99J95;CDK9;0.454;22922464 20593818 
Q9QWW1;HOMER2;P60766;CDC42;0.21;10493740 
Q9QWW1;HOMER2;Q3UVX5;GRM5;0.21;9808458 
Q9QWW1;HOMER2;Q62108;DLG4;0.126;10493740 
Q9QXD8;LIMD1;Q02956;PRKCZ;0.21;17092936 
Q9QWY8;ASAP1;Q91WZ8;DTNBP1;0.309;18685082 
Q9QWY8;ASAP1;Q60875;ARHGEF2;0.309;18685082 
Q9QWY8;ASAP1;Q8CGB3;UACA;0.309;18685082 
Q9QWY8;ASAP1;Q80UK0;SESTD1;0.309;18685082 
Q9QWY8;ASAP1;Q80XA6;REPS2;0.454;12149250 
Q9QXV9;SPRY1;Q9QXV9;SPRY1;0.236;16339969 
Q9QYH6;MAGED1;P70396;DLX5;0.454;11084035 
Q9QXJ2;STAT2;Q9QX11;CYTH1;0.183;15102471 
Q9QXA7;TRIM44;Q60680;CHUK;0.183;15102471 
Q9QX47;SON;P25118;TNFRSF1A;0.183;15102471 
Q9QX29;TRPC5;P70441;SLC9A3R1;0.21;10980202 
Q9QX47;SON;Q8BWG8;ARRB1;0.183;15102471 
Q9QXA3;FAT1;Q99JP6;HOMER3;0.21;16979624 
Q9QXD8;LIMD1;P70196;TRAF6;0.21;17092936 
Q9QXD6;FBP1;Q60931;VDAC3;0.21;22154964 
Q9QXD6;FBP1;A1L0U3;HIST1H3E;0.21;22154964 
Q9QXD6;FBP1;D3Z6F5;ATP5A1;0.21;22154964 
Q9QXD6;FBP1;B2RTM0;HIST2H4;0.21;22154964 
Q9QXD6;FBP1;B2RWH3;HIST2H2AA1;0.21;22154964 
Q9QXD6;FBP1;Q03265;ATP5A1;0.21;22154964 
Q9QXD6;FBP1;P48962;SLC25A4;0.21;22154964 
Q9QXD6;FBP1;P51881;SLC25A5;0.21;22154964 
Q9QXD6;FBP1;Q545A2;SLC25A5;0.21;22154964 
Q9QXD6;FBP1;Q149Z9;HIST1H1D;0.21;22154964 
Q9QXV9;SPRY1;Q9QXV8;SPRY2;0.21;16339969 
Q9QXN0;SHROOM3;P70335;ROCK1;0.309;18829867 
Q9QXF8;GNMT;Q3LAC4;PREX2;0.376;28205209 
Q9QXE7;TBL1X;O08686;BARX2;0.21;15728386 
