Protein A;Gene A;Protein B;Gene B;Score;PMID
P62259;YWHAE;P56212;ARPP19;0.081;16615898 
P62259;YWHAE;P55066;NCAN;0.081;16615898 
Q3U1F9;PAG1;P06800;PTPRC;0.126;26512138 
Q3U1F9;PAG1;A2A8L5;PTPRF;0.126;26512138 
P62259;YWHAE;P54869;HMGCS2;0.081;16615898 
Q3U0P1;PALB2;Q3U0P1;PALB2;0.155;25016020 
P62259;YWHAE;P55014;SLC12A1;0.081;16615898 
P62259;YWHAE;P55258;RAB8A;0.081;16615898 
Q3U1F9;PAG1;P35278;RAB5C;0.126;26512138 
P62259;YWHAE;P55088;AQP4;0.081;16615898 
P62259;YWHAE;P55144;TYRO3;0.081;16615898 
Q9CXS4;CENPV;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P56135;ATP5J2;0.081;16615898 
P62259;YWHAE;P55284;CDH5;0.081;16615898 
P62259;YWHAE;P55264;ADK;0.081;16615898 
Q3U1F9;PAG1;P06332;CD4;0.126;26512138 
Q9CXR1;DHRS7;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;O35601;FYB;0.126;26512138 
P62259;YWHAE;P55302;LRPAP1;0.081;16615898 
Q3U1F9;PAG1;D3YXK2;SAFB;0.126;26512138 
Q8R5H1;USP15;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;B2RXR6;ANKRD44;0.126;26512138 
Q9Z2D6;MECP2;P62259;YWHAE;0.081;16615898 
P98063;BMP1;P28653;BGN;0.033;20026052 
Q9Z0V1;KCND3;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;O08795;PRKCSH;0.126;26512138 
Q9WTK2;CDYL;P62259;YWHAE;0.081;16615898 
Q9R269;PPL;P62259;YWHAE;0.081;16615898 
Q3U1F9;PAG1;D3Z6Q9;BIN2;0.126;26512138 
Q9JKF1;IQGAP1;P62259;YWHAE;0.081;16615898 
Q9DBR7;PPP1R12A;P62259;YWHAE;0.081;16615898 
Q9CY97;SSU72;P62259;YWHAE;0.081;16615898 
