Protein A;Gene A;Protein B;Gene B;Score;PMID
P21708;MAPK3;P19357;SLC2A4;0.126;16396496 
P23358;RPL12;P19357;SLC2A4;0.126;16396496 
P28480;TCP1;P19357;SLC2A4;0.126;16396496 
P24268;CTSD;P19357;SLC2A4;0.126;16396496 
P26772;HSPE1;P19357;SLC2A4;0.126;16396496 
P24050;RPS5;P19357;SLC2A4;0.126;16396496 
P23965;ECI1;P19357;SLC2A4;0.126;16396496 
P26453;BSG;P19357;SLC2A4;0.126;16396496 
P26051;CD44;P19357;SLC2A4;0.126;16396496 
P24368;PPIB;P19357;SLC2A4;0.126;16396496 
P25235;RPN2;P19357;SLC2A4;0.126;16396496 
P28075;PSMB5;P19357;SLC2A4;0.126;16396496 
P27615;SCARB2;P19357;SLC2A4;0.126;16396496 
P27605;HPRT1;P19357;SLC2A4;0.126;16396496 
P27881;HK2;P19357;SLC2A4;0.126;16396496 
P27653;MTHFD1;P19357;SLC2A4;0.126;16396496 
P27791;PRKACA;P19357;SLC2A4;0.126;16396496 
P28042;SSBP1;P19357;SLC2A4;0.126;16396496 
P09416;MYC;B0BNJ0;B0BNJ0;0.21;24951594 
P21272;CEBPB;P09416;MYC;0.033;12873812 
P52164;MAX;P09416;MYC;0.21;17304222 
Q9QZM5;ABI1;P09416;MYC;0.21;17304222 
P27952;RPS2;P19357;SLC2A4;0.126;16396496 
P28073;PSMB6;P19357;SLC2A4;0.126;16396496 
P51868;CASQ2;P19357;SLC2A4;0.126;16396496 
P30427;PLEC;P19357;SLC2A4;0.126;16396496 
P37285;KLC1;P19357;SLC2A4;0.126;16396496 
P34058;HSP90AB1;P19357;SLC2A4;0.126;16396496 
P62963;PFN1;P19357;SLC2A4;0.126;16396496 
Q5EBA9;SUCLG2;P19357;SLC2A4;0.126;16396496 
P30839;ALDH3A2;P19357;SLC2A4;0.126;16396496 
P32551;UQCRC2;P19357;SLC2A4;0.126;16396496 
P31399;ATP5H;P19357;SLC2A4;0.126;16396496 
P31232;TAGLN;P19357;SLC2A4;0.126;16396496 
P30904;MIF;P19357;SLC2A4;0.126;16396496 
P31000;VIM;P19357;SLC2A4;0.126;16396496 
P32089;SLC25A1;P19357;SLC2A4;0.126;16396496 
P31977;EZR;P19357;SLC2A4;0.126;16396496 
P34064;PSMA5;P19357;SLC2A4;0.126;16396496 
P36972;APRT;P19357;SLC2A4;0.126;16396496 
P35284;RAB12;P19357;SLC2A4;0.126;16396496 
P35281;RAB10;P19357;SLC2A4;0.126;16396496 
P34926;MAP1A;P19357;SLC2A4;0.126;16396496 
P34067;PSMB4;P19357;SLC2A4;0.126;16396496 
P35213;YWHAB;P19357;SLC2A4;0.126;16396496 
P35053;GPC1;P19357;SLC2A4;0.126;16396496 
Q9Z136;TSC1;P19527;NEFL;0.126;12226091 
P36202;PDLIM4;P19357;SLC2A4;0.126;16396496 
P35427;RPL13A;P19357;SLC2A4;0.126;16396496 
P35286;RAB13;P19357;SLC2A4;0.126;16396496 
P49816;TSC2;P19527;NEFL;0.126;12226091 
P35435;ATP5C1;P19357;SLC2A4;0.126;16396496 
P35434;ATP5D;P19357;SLC2A4;0.126;16396496 
P35704;PRDX2;P19357;SLC2A4;0.126;16396496 
P35565;CANX;P19357;SLC2A4;0.126;16396496 
P40307;PSMB2;P19357;SLC2A4;0.126;16396496 
P51583;PAICS;P19357;SLC2A4;0.126;16396496 
P38650;DYNC1H1;P19357;SLC2A4;0.126;16396496 
P46462;VCP;P19357;SLC2A4;0.126;16396496 
P37397;CNN3;P19357;SLC2A4;0.126;16396496 
P40112;PSMB3;P19357;SLC2A4;0.126;16396496 
P39052;DNM2;P19357;SLC2A4;0.126;16396496 
P38983;RPSA;P19357;SLC2A4;0.126;16396496 
P38659;PDIA4;P19357;SLC2A4;0.126;16396496 
P45592;CFL1;P19357;SLC2A4;0.126;16396496 
P42667;SEC11A;P19357;SLC2A4;0.126;16396496 
P41123;RPL13;P19357;SLC2A4;0.126;16396496 
P45479;PPT1;P19357;SLC2A4;0.126;16396496 
Q62925;MAP3K1;P24898;JUNB;0.21;15189336 
P42930;HSPB1;P19357;SLC2A4;0.126;16396496 
P47853;BGN;P19357;SLC2A4;0.126;16396496 
P37727;CHM;P09527;RAB7A;0.309;15186776 
Q6P5P5;MEST;P21708;MAPK3;0.126;19935650 
Q6P791;LAMTOR1;P09527;RAB7A;0.126;19177150 
Q80ZD7;AMIGO1;P15387;KCNB1;0.236;22056818 
P50878;RPL4;P19357;SLC2A4;0.126;16396496 
P49432;PDHB;P19357;SLC2A4;0.126;16396496 
P48004;PSMA7;P19357;SLC2A4;0.126;16396496 
P47942;DPYSL2;P19357;SLC2A4;0.126;16396496 
P49242;RPS3A;P19357;SLC2A4;0.126;16396496 
P48500;TPI1;P19357;SLC2A4;0.126;16396496 
P48037;ANXA6;P19357;SLC2A4;0.126;16396496 
Q810C5;DGKI;P09951;SYN1;0.126;21119615 
P48679;LMNA;P19357;SLC2A4;0.126;16396496 
Q810C5;DGKI;P15146;MAP2;0.126;21119615 
Q810C5;DGKI;P16884;NEFH;0.126;21119615 
P48675;DES;P19357;SLC2A4;0.126;16396496 
Q810H6;DISC1;P54748;PDE4A;0.21;21323643 
P49134;ITGB1;P19357;SLC2A4;0.126;16396496 
P48721;HSPA9;P19357;SLC2A4;0.126;16396496 
P50503;ST13;P19357;SLC2A4;0.126;16396496 
P50430;ARSB;P19357;SLC2A4;0.126;16396496 
P50137;TKT;P19357;SLC2A4;0.126;16396496 
P50408;ATP6V1F;P19357;SLC2A4;0.126;16396496 
P54001;P4HA1;P19357;SLC2A4;0.126;16396496 
P52944;PDLIM1;P19357;SLC2A4;0.126;16396496 
P52555;ERP29;P19357;SLC2A4;0.126;16396496 
P52296;KPNB1;P19357;SLC2A4;0.126;16396496 
P56571;P56571;P19357;SLC2A4;0.126;16396496 
P62083;RPS7;P19357;SLC2A4;0.126;16396496 
P55161;NCKAP1;P19357;SLC2A4;0.126;16396496 
P62961;YBX1;P19357;SLC2A4;0.126;16396496 
P55063;HSPA1L;P19357;SLC2A4;0.126;16396496 
P54921;NAPA;P19357;SLC2A4;0.126;16396496 
P54311;GNB1;P19357;SLC2A4;0.126;16396496 
P60123;RUVBL1;P19357;SLC2A4;0.126;16396496 
P61023;CHP1;P19357;SLC2A4;0.126;16396496 
P58405;STRN3;P19357;SLC2A4;0.126;16396496 
P56574;IDH2;P19357;SLC2A4;0.126;16396496 
P60192;SNAPIN;P19357;SLC2A4;0.126;16396496 
P60901;PSMA6;P19357;SLC2A4;0.126;16396496 
P61983;YWHAG;P19357;SLC2A4;0.126;16396496 
P60892;PRPS1;P19357;SLC2A4;0.126;16396496 
P60711;ACTB;P19357;SLC2A4;0.126;16396496 
P61212;ARL1;P19357;SLC2A4;0.126;16396496 
P61980;HNRNPK;P19357;SLC2A4;0.126;16396496 
P61107;RAB14;P19357;SLC2A4;0.126;16396496 
P61206;ARF3;P19357;SLC2A4;0.126;16396496 
P61589;RHOA;P19357;SLC2A4;0.126;16396496 
P61354;RPL27;P19357;SLC2A4;0.126;16396496 
P61751;ARF4;P19357;SLC2A4;0.126;16396496 
P61805;DAD1;P19357;SLC2A4;0.126;16396496 
P61621;SEC61A1;P19357;SLC2A4;0.126;16396496 
P62919;RPL8;P19357;SLC2A4;0.126;16396496 
P62268;RPS23;P19357;SLC2A4;0.126;16396496 
P62243;RPS8;P19357;SLC2A4;0.126;16396496 
P62138;PPP1CA;P19357;SLC2A4;0.126;16396496 
P62198;PSMC5;P19357;SLC2A4;0.126;16396496 
P62142;PPP1CB;P19357;SLC2A4;0.126;16396496 
P62193;PSMC1;P19357;SLC2A4;0.126;16396496 
P62718;RPL18A;P19357;SLC2A4;0.126;16396496 
P62260;YWHAE;P19357;SLC2A4;0.126;16396496 
P62246;RPS15A;P19357;SLC2A4;0.126;16396496 
P62250;RPS16;P19357;SLC2A4;0.126;16396496 
P62278;RPS13;P19357;SLC2A4;0.126;16396496 
P62271;RPS18;P19357;SLC2A4;0.126;16396496 
P62716;PPP2CB;P19357;SLC2A4;0.126;16396496 
P62703;RPS4X;P19357;SLC2A4;0.126;16396496 
P62332;ARF6;P19357;SLC2A4;0.126;16396496 
P62282;RPS11;P19357;SLC2A4;0.126;16396496 
P62630;EEF1A1;P19357;SLC2A4;0.126;16396496 
P62425;RPL7A;P19357;SLC2A4;0.126;16396496 
P62628;DYNLRB1;P19357;SLC2A4;0.126;16396496 
P62850;RPS24;P19357;SLC2A4;0.126;16396496 
P62738;ACTA2;P19357;SLC2A4;0.126;16396496 
P62755;RPS6;P19357;SLC2A4;0.126;16396496 
P62845;RPS15;P19357;SLC2A4;0.126;16396496 
P62914;RPL11;P19357;SLC2A4;0.126;16396496 
P62832;RPL23;P19357;SLC2A4;0.126;16396496 
P62828;RAN;P19357;SLC2A4;0.126;16396496 
P62815;ATP6V1B2;P19357;SLC2A4;0.126;16396496 
P62909;RPS3;P19357;SLC2A4;0.126;16396496 
P62859;RPS28;P19357;SLC2A4;0.126;16396496 
P62853;RPS25;P19357;SLC2A4;0.126;16396496 
P62907;RPL10A;P19357;SLC2A4;0.126;16396496 
P62870;TCEB2;P19357;SLC2A4;0.126;16396496 
P62902;RPL31;P19357;SLC2A4;0.126;16396496 
P62890;RPL30;P19357;SLC2A4;0.126;16396496 
P63326;RPS10;P19357;SLC2A4;0.126;16396496 
P63039;HSPD1;P19357;SLC2A4;0.126;16396496 
Q6P7B6;EFNB1;P09759;EPHB1;0.033;8798570 
Q5EBA4;NIPSNAP1;P19357;SLC2A4;0.126;16396496 
P80385;PRKAG1;P19357;SLC2A4;0.126;16396496 
P63018;HSPA8;P19357;SLC2A4;0.126;16396496 
P63004;PAFAH1B1;P19357;SLC2A4;0.126;16396496 
P62982;RPS27A;P19357;SLC2A4;0.126;16396496 
P62997;TRA2B;P19357;SLC2A4;0.126;16396496 
Q07984;SSR4;P19357;SLC2A4;0.126;16396496 
P63324;RPS12;P19357;SLC2A4;0.126;16396496 
P63095;GNAS;P19357;SLC2A4;0.126;16396496 
P63074;EIF4E;P19357;SLC2A4;0.126;16396496 
P63088;PPP1CC;P19357;SLC2A4;0.126;16396496 
P63086;MAPK1;P19357;SLC2A4;0.126;16396496 
P63259;ACTG1;P19357;SLC2A4;0.126;16396496 
P63100;PPP3R1;P19357;SLC2A4;0.126;16396496 
P63245;GNB2L1;P19357;SLC2A4;0.126;16396496 
P63170;DYNLL1;P19357;SLC2A4;0.126;16396496 
P63102;YWHAZ;P19357;SLC2A4;0.126;16396496 
Q9ERZ8;TRPV4;P25095;AGTR1;0.376;20650893 
P69897;TUBB5;P19357;SLC2A4;0.126;16396496 
P68101;EIF2S1;P19357;SLC2A4;0.126;16396496 
P30543;ADORA2A;P25099;ADORA1;0.396;16481441 
P67779;PHB;P19357;SLC2A4;0.126;16396496 
P68182;PRKACB;P19357;SLC2A4;0.126;16396496 
P68136;ACTA1;P19357;SLC2A4;0.126;16396496 
P70645;BLMH;P19357;SLC2A4;0.126;16396496 
P68370;TUBA1A;P19357;SLC2A4;0.126;16396496 
P62142;PPP1CB;P09895;RPL5;0.454;7649987 
P68511;YWHAH;P19357;SLC2A4;0.126;16396496 
P68255;YWHAQ;P19357;SLC2A4;0.126;16396496 
P25114;PFKFB4;P25114;PFKFB4;0.332;8805587 
P70470;LYPLA1;P19357;SLC2A4;0.126;16396496 
P70550;RAB8B;P19357;SLC2A4;0.126;16396496 
Q62696;DLG1;P25122;KCNC1;0.21;19213956 
P09951;SYN1;F1LNJ1;LRRK2;0.21;24904275 
Q811U3;ERC1;P09951;SYN1;0.126;12391317 
P70500;CDIPT;P19357;SLC2A4;0.126;16396496 
P70490;MFGE8;P19357;SLC2A4;0.126;16396496 
P83888;TUBG1;P19357;SLC2A4;0.126;16396496 
P81799;NAGK;P19357;SLC2A4;0.126;16396496 
P81155;VDAC2;P19357;SLC2A4;0.126;16396496 
P83732;RPL24;P19357;SLC2A4;0.126;16396496 
Q07936;ANXA2;P19357;SLC2A4;0.126;16396496 
P97536;CAND1;P19357;SLC2A4;0.126;16396496 
P82995;HSP90AA1;P19357;SLC2A4;0.126;16396496 
P84100;RPL19;P19357;SLC2A4;0.126;16396496 
P84092;AP2M1;P19357;SLC2A4;0.126;16396496 
P84083;ARF5;P19357;SLC2A4;0.126;16396496 
P97519;HMGCL;P19357;SLC2A4;0.126;16396496 
Q07266;DBN1;P19357;SLC2A4;0.126;16396496 
P97629;LNPEP;P19357;SLC2A4;0.126;16396496 
Q00972;BCKDK;P19357;SLC2A4;0.126;16396496 
P97852;HSD17B4;P19357;SLC2A4;0.126;16396496 
P97700;SLC25A11;P19357;SLC2A4;0.126;16396496 
Q06647;ATP5O;P19357;SLC2A4;0.126;16396496 
Q05962;SLC25A4;P19357;SLC2A4;0.126;16396496 
Q04462;VARS;P19357;SLC2A4;0.126;16396496 
Q01205;DLST;P19357;SLC2A4;0.126;16396496 
Q02253;ALDH6A1;P19357;SLC2A4;0.126;16396496 
Q5EB77;RAB18;P19357;SLC2A4;0.126;16396496 
Q3KR80;ARSA;P19357;SLC2A4;0.126;16396496 
Q08850;STX4;P19357;SLC2A4;0.126;16396496 
P15390;SCN4A;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.454;12967988 
P23811;SCTR;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
P25961;PTH1R;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
P30083;VIPR1;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
P32214;CALCR;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
P32301;GLP1R;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
P35000;VIPR2;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
P35353;CRHR1;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
P35400;GRM7;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;11953448 
P49816;TSC2;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.21;15851513 
P70555;PTH2R;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
Q9Z0W0;GLP2R;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.309;15670850 
Q9Z136;TSC1;P0DP29;CALM1 {ECO:0000312|RGD:2257};0.21;15851513 
P15390;SCN4A;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.454;12967988 
P23811;SCTR;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
P25961;PTH1R;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
P30083;VIPR1;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
P32214;CALCR;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
P32301;GLP1R;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
P35000;VIPR2;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
P35353;CRHR1;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
P35400;GRM7;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;11953448 
P49816;TSC2;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.21;15851513 
P70555;PTH2R;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
Q9Z0W0;GLP2R;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.309;15670850 
Q9Z136;TSC1;P0DP30;CALM2 {ECO:0000312|RGD:2258};0.21;15851513 
P15390;SCN4A;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.454;12967988 
P23811;SCTR;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
P25961;PTH1R;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
P30083;VIPR1;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
P32214;CALCR;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
P32301;GLP1R;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
P35000;VIPR2;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
P35353;CRHR1;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
P35400;GRM7;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;11953448 
P49816;TSC2;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.21;15851513 
P70555;PTH2R;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
Q9Z0W0;GLP2R;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.309;15670850 
Q9Z136;TSC1;P0DP31;CALM3 {ECO:0000312|RGD:2259};0.21;15851513 
Q08163;CAP1;P19357;SLC2A4;0.126;16396496 
Q499V7;SUCLG2;P19357;SLC2A4;0.126;16396496 
Q6P756;NECAP2;O08839;BIN1;0.126;17762867 
Q6P756;NECAP2;O08838;AMPH;0.126;17762867 
Q6P6U2;PSMC3;P16599;TNF;0.236;17623297 
Q6P756;NECAP2;Q62910;SYNJ1;0.126;17762867 
Q9QYH1;MPP4;Q6P7B6;EFNB1;0.21;10558890 
Q62838;MUSK;P25304;AGRN;0.21;18848351 
Q3B7V5;RAB2B;P19357;SLC2A4;0.126;16396496 
Q09073;SLC25A5;P19357;SLC2A4;0.126;16396496 
Q10728;PPP1R12A;P19357;SLC2A4;0.126;16396496 
Q10758;KRT8;P19357;SLC2A4;0.126;16396496 
Q2PQA9;KIF5B;P19357;SLC2A4;0.126;16396496 
Q32PX6;RHOG;P19357;SLC2A4;0.126;16396496 
Q2TA68;OPA1;P19357;SLC2A4;0.126;16396496 
Q2PS20;JPH2;P19357;SLC2A4;0.126;16396496 
Q32KK2;ARSA;P19357;SLC2A4;0.126;16396496 
Q32KJ5;GNS;P19357;SLC2A4;0.126;16396496 
Q3KRE8;TUBB2B;P19357;SLC2A4;0.126;16396496 
Q498E0;TXNDC12;P19357;SLC2A4;0.126;16396496 
Q3KR97;BAIAP2L1;P19357;SLC2A4;0.126;16396496 
Q3KRE0;ATAD3;P19357;SLC2A4;0.126;16396496 
Q3L7M0;GGTA1;P19357;SLC2A4;0.126;16396496 
Q3T1L0;ALDH16A1;P19357;SLC2A4;0.126;16396496 
Q3MIE7;COMMD9;P19357;SLC2A4;0.126;16396496 
Q3MHT4;TUT1;P19357;SLC2A4;0.126;16396496 
Q4G067;MRPL44;P19357;SLC2A4;0.126;16396496 
Q4V8H5;DNPEP;P19357;SLC2A4;0.126;16396496 
Q4AEF8;COPG1;P19357;SLC2A4;0.126;16396496 
Q4G061;EIF3B;P19357;SLC2A4;0.126;16396496 
Q4FZT0;STOML2;P19357;SLC2A4;0.126;16396496 
Q5BK63;NDUFA9;P19357;SLC2A4;0.126;16396496 
Q4V8B7;HSDL1;P19357;SLC2A4;0.126;16396496 
Q4QQW8;PLBD2;P19357;SLC2A4;0.126;16396496 
Q4QQV0;TUBB6;P19357;SLC2A4;0.126;16396496 
Q4KM74;SEC22B;P19357;SLC2A4;0.126;16396496 
Q4V8B5;CCDC116;P19357;SLC2A4;0.126;16396496 
Q4QRB4;TUBB3;P19357;SLC2A4;0.126;16396496 
Q5BJX1;MRPL41;P19357;SLC2A4;0.126;16396496 
Q52KJ9;TMX1;P19357;SLC2A4;0.126;16396496 
Q5BJT7;CCDC93;P19357;SLC2A4;0.126;16396496 
Q5BJK8;GOLIM4;P19357;SLC2A4;0.126;16396496 
Q63787;PIK3R1;P18508;GABRG2;0.21;16890252 
Q64537;CAPNS1;P19357;SLC2A4;0.126;16396496 
Q5XIQ4;MGRN1;P19357;SLC2A4;0.126;16396496 
Q5M843;OGFOD3;P19357;SLC2A4;0.126;16396496 
Q6PEC4;SKP1;G3V802;CCNA2;0.21;18356301 
Q6PEC4;SKP1;Q64315;CDKN1A;0.21;18356301 
P28572;SLC6A9;P18614;ITGA1;0.21;16271045 
Q99J82;ILK;P19357;SLC2A4;0.126;16396496 
Q5FVH2;PLD3;P19357;SLC2A4;0.126;16396496 
Q63429;UBC;P04633;UCP1;0.376;22531154 
Q5FVH0;C1QTNF5;P19357;SLC2A4;0.126;16396496 
Q5M7W1;TXNIP;P19357;SLC2A4;0.126;16396496 
Q5FVQ4;MLEC;P19357;SLC2A4;0.126;16396496 
Q5I0E7;TMED9;P19357;SLC2A4;0.126;16396496 
Q5FWT1;FAM98A;P19357;SLC2A4;0.126;16396496 
P17325;JUN;P10158;FOSL1;0.033;2497053 
Q5U2V8;EMC3;P19357;SLC2A4;0.126;16396496 
Q5M918;GNS;P19357;SLC2A4;0.126;16396496 
Q5XIP9;TMEM43;P19357;SLC2A4;0.126;16396496 
Q5XI04;STOM;P19357;SLC2A4;0.126;16396496 
Q5U1Z2;TRAPPC3;P19357;SLC2A4;0.126;16396496 
Q5PQL2;RQCD1;P19357;SLC2A4;0.126;16396496 
Q5M9G3;CAPRIN1;P19357;SLC2A4;0.126;16396496 
Q5U1Y1;RAB34;P19357;SLC2A4;0.126;16396496 
Q5PQM3;EHBP1L1;P19357;SLC2A4;0.126;16396496 
Q5U3Z7;SHMT2;P19357;SLC2A4;0.126;16396496 
Q5U367;PLOD3;P19357;SLC2A4;0.126;16396496 
Q5U302;CTNNA1;P19357;SLC2A4;0.126;16396496 
Q5U2X8;ACOT9;P19357;SLC2A4;0.126;16396496 
Q5XIP0;DNAJB4;P19357;SLC2A4;0.126;16396496 
P10361;TP53;O35132;CYP27B1;0.21;9488468 
P10361;TP53;O88600;HSPA4;0.21;9488468 
P29117;PPIF;P10361;TP53;0.126;22726440 
P39950;CCNG1;P10361;TP53;0.21;11983168 
P82995;HSP90AA1;P10361;TP53;0.21;9488468 
Q63396;SUB1;P10361;TP53;0.376;17130840 
Q5XI43;MXRA8;P19357;SLC2A4;0.126;16396496 
Q5XIA1;NCLN;P19357;SLC2A4;0.126;16396496 
Q5XI73;ARHGDIA;P19357;SLC2A4;0.126;16396496 
Q5XID6;SGCG;P19357;SLC2A4;0.126;16396496 
Q5XIM9;CCT2;P19357;SLC2A4;0.126;16396496 
Q5XIM0;BCS1L;P19357;SLC2A4;0.126;16396496 
Q5XIG8;STRAP;P19357;SLC2A4;0.126;16396496 
Q5XII0;EPDR1;P19357;SLC2A4;0.126;16396496 
Q5XIH7;PHB2;P19357;SLC2A4;0.126;16396496 
Q5XIH3;NDUFV1;P19357;SLC2A4;0.126;16396496 
Q62638;GLG1;P19357;SLC2A4;0.126;16396496 
Q5XIT9;MCCC2;P19357;SLC2A4;0.126;16396496 
Q62636;RAP1B;P19357;SLC2A4;0.126;16396496 
Q62764;YBX3;P19357;SLC2A4;0.126;16396496 
Q60587;HADHB;P19357;SLC2A4;0.126;16396496 
Q5XIU9;PGRMC2;P19357;SLC2A4;0.126;16396496 
Q5XIU4;BCAP29;P19357;SLC2A4;0.126;16396496 
Q63258;ITGA7;P19357;SLC2A4;0.126;16396496 
Q62698;DYNC1LI2;P19357;SLC2A4;0.126;16396496 
Q64536;PDK2;P19357;SLC2A4;0.126;16396496 
Q62667;MVP;P19357;SLC2A4;0.126;16396496 
Q63151;ACSL3;P19357;SLC2A4;0.126;16396496 
Q62902;LMAN1;P19357;SLC2A4;0.126;16396496 
Q62871;DYNC1I2;P19357;SLC2A4;0.126;16396496 
Q62786;PTGFRN;P19357;SLC2A4;0.126;16396496 
Q63002;IGF2R;P19357;SLC2A4;0.126;16396496 
Q62908;CSRP2;P19357;SLC2A4;0.126;16396496 
Q62991;SCFD1;P19357;SLC2A4;0.126;16396496 
Q62920;PDLIM5;P19357;SLC2A4;0.126;16396496 
Q62952;DPYSL3;P19357;SLC2A4;0.126;16396496 
Q63016;SLC7A5;P19357;SLC2A4;0.126;16396496 
Q63083;NUCB1;P19357;SLC2A4;0.126;16396496 
Q63081;PDIA6;P19357;SLC2A4;0.126;16396496 
Q63615;VPS33A;P19357;SLC2A4;0.126;16396496 
P62483;KCNAB2;P10499;KCNA1;0.309;10884227 
Q63524;TMED2;P19357;SLC2A4;0.126;16396496 
Q64428;HADHA;P19357;SLC2A4;0.126;16396496 
Q63312;PHLDB1;P19357;SLC2A4;0.126;16396496 
Q63448;ACOX3;P19357;SLC2A4;0.126;16396496 
Q63321;PLOD1;P19357;SLC2A4;0.126;16396496 
Q63507;RPL14;P19357;SLC2A4;0.126;16396496 
Q63377;ATP1B3;P19357;SLC2A4;0.126;16396496 
Q63347;PSMC2;P19357;SLC2A4;0.126;16396496 
Q63570;PSMC4;P19357;SLC2A4;0.126;16396496 
Q63598;PLS3;P19357;SLC2A4;0.126;16396496 
Q63569;PSMC3;P19357;SLC2A4;0.126;16396496 
Q63584;TMED10;P19357;SLC2A4;0.126;16396496 
P48508;GCLM;P19468;GCLC;0.21;9675072 
Q63699;CDK2;P19357;SLC2A4;0.126;16396496 
Q63635;STX6;P19357;SLC2A4;0.126;16396496 
Q64375;LEPREL4;P19357;SLC2A4;0.126;16396496 
Q63750;MRPL23;P19357;SLC2A4;0.126;16396496 
Q64232;TECR;P19357;SLC2A4;0.126;16396496 
Q63716;PRDX1;P19357;SLC2A4;0.126;16396496 
Q641X3;HEXA;P19357;SLC2A4;0.126;16396496 
Q63965;SFXN1;P19357;SLC2A4;0.126;16396496 
Q66H94;FKBP9;P19357;SLC2A4;0.126;16396496 
Q6RJR6;RTN3;P19357;SLC2A4;0.126;16396496 
Q66H12;NAGA;P19357;SLC2A4;0.126;16396496 
Q64560;TPP2;P19357;SLC2A4;0.126;16396496 
Q6MGB5;HSD17B8;P19357;SLC2A4;0.126;16396496 
Q68FV6;Q68FV6;P19357;SLC2A4;0.126;16396496 
Q64591;DECR1;P19357;SLC2A4;0.126;16396496 
Q99068;LRPAP1;P19357;SLC2A4;0.126;16396496 
Q68FQ0;CCT5;P19357;SLC2A4;0.126;16396496 
Q66X93;SND1;P19357;SLC2A4;0.126;16396496 
Q66H98;SDPR;P19357;SLC2A4;0.126;16396496 
Q68FT7;FARSB;P19357;SLC2A4;0.126;16396496 
Q68FT4;SUCLG2;P19357;SLC2A4;0.126;16396496 
Q68FS9;COMMD10;P19357;SLC2A4;0.126;16396496 
Q68FR9;EEF1D;P19357;SLC2A4;0.126;16396496 
Q68FY0;UQCRC1;P19357;SLC2A4;0.126;16396496 
Q6MG76;SKIV2L;P19357;SLC2A4;0.126;16396496 
Q68FW4;STX18;P19357;SLC2A4;0.126;16396496 
Q6AY55;DCAKD;P19357;SLC2A4;0.126;16396496 
Q6AY48;PCBP3;P19357;SLC2A4;0.126;16396496 
Q6GQP4;RAB31;P19357;SLC2A4;0.126;16396496 
Q6AYH5;DCTN2;P19357;SLC2A4;0.126;16396496 
Q6MG60;DDAH2;P19357;SLC2A4;0.126;16396496 
Q6AYS3;CTSA;P19357;SLC2A4;0.126;16396496 
Q6IE67;LOC100361067;P19357;SLC2A4;0.126;16396496 
Q6IN22;CTSB;P19357;SLC2A4;0.126;16396496 
Q6MG30;RT1-CE14;P19357;SLC2A4;0.126;16396496 
Q6IMX8;ACOT2;P19357;SLC2A4;0.126;16396496 
Q6IFV1;KRT14;P19357;SLC2A4;0.126;16396496 
Q6LED0;Q6LED0;P19357;SLC2A4;0.126;16396496 
Q6J4T4;LIMA1;P19357;SLC2A4;0.126;16396496 
Q6IRE4;TSG101;P19357;SLC2A4;0.126;16396496 
Q6IRK9;CPQ;P19357;SLC2A4;0.126;16396496 
Q6P9U3;COMMD3;P19357;SLC2A4;0.126;16396496 
Q6NYB7;RAB1A;P19357;SLC2A4;0.126;16396496 
Q6P6V0;GPI;P19357;SLC2A4;0.126;16396496 
Q6NX65;PDCD10;P19357;SLC2A4;0.126;16396496 
