Protein A;Gene A;Protein B;Gene B;Score;PMID
Q9R1S9;MDK;P14056;ARAF;0.309;9679960 
Q9R1S9;MDK;P11345;RAF1;0.309;9679960 
Q9JKS6;PCLO;Q920M9;SIAH1;0.21;23403927 
Q32Q06;AP1M1;A6P320;MARCH11;0.454;17604280 
Q792I0;LIN7C;A6P320;MARCH11;0.21;17604280 
Q9JLI4;NCOA6;Q9JLI4;NCOA6;0.332;10866662 
Q9JLP1;KHDRBS3;Q91V33;KHDRBS1;0.309;11118435 
Q9JLP1;KHDRBS3;Q4V898;RBMX;0.309;11118435 
Q9JLU4;SHANK3;Q9JLU4;SHANK3;0.236;23897824 
Q9JLU4;SHANK3;P31424;GRM5;0.309;10433269 
Q9JLT6;BID;P35213;YWHAB;0.523;12871587 
P09951;SYN1;O08560;DGKZ;0.126;19229292 
P15146;MAP2;O08560;DGKZ;0.126;19229292 
P14562;LAMP1;O08561;PI4KB;0.21;23258225 
Q70AM4;KIF13B;O08561;PI4KB;0.21;23258225 
Q9JM80;PAG1;P32577;CSK;0.21;10801129 
P19490;GRIA1;O08623;SQSTM1;0.376;23511975 
P62483;KCNAB2;O08623;SQSTM1;0.309;12431995 
Q4V8E9;NRIF1;O08623;SQSTM1;0.376;16252010 
Q5D003;FHOD3;O08623;SQSTM1;0.126;21149568 
O08679;MARK2;O08679;MARK2;0.332;16472737 
O88764;DAPK3;O08722;UNC5B;0.309;21172653 
Q63787;PIK3R1;O08724;IRS3;0.21;16919274 
P14056;ARAF;O08774;RGS12;0.21;17380122 
P20171;HRAS;O08774;RGS12;0.21;17380122 
P21708;MAPK3;O08775;KDR;0.126;19935650 
O08815;SLK;O08815;SLK;0.236;16316999 
O08838;AMPH;O08838;AMPH;0.236;11382783 
O88339;EPN1;O08838;AMPH;0.21;11382783 
P08081;CLTA;O08838;AMPH;0.21;11382783 
P39052;DNM2;O08838;AMPH;0.454;16325581 
P62944;AP2B1;O08838;AMPH;0.376;11382783 16903783 
Q62910;SYNJ1;O08838;AMPH;0.21;9195986 
O08839;BIN1;O08838;AMPH;0.21;15126636 
P08081;CLTA;O08839;BIN1;0.21;11382783 
P11442;CLTC;O08839;BIN1;0.21;11382783 
P62944;AP2B1;O08839;BIN1;0.21;11382783 
P69682;NECAP1;O08839;BIN1;0.454;17762867 
Q62910;SYNJ1;O08839;BIN1;0.21;9195986 
P18266;GSK3B;O09139;E2F1;0.376;18367454 
P33568;RB1;O09139;E2F1;0.376;9697699 17989570 
Q9JM47;KCNIP3;Q5I0H3;SUMO1;0.21;21070824 
Q9JMG6;TFPT;Q63053;ARC;0.376;10644725 
Q9WTW1;GRIP2;P19492;GRIA3;0.309;9768844 
Q9WTZ3;MBTPS1;Q62839;GOLGA2;0.236;18323777 
Q9WTZ3;MBTPS1;Q9JKM5;S1PR5;0.309;11069896 
Q9WU70;STXBP5;P61959;SUMO2;0.21;21330375 
Q9WU70;STXBP5;Q5XIF4;SUMO3;0.21;21330375 
Q9WU82;CTNNB1;P08050;GJA1;0.21;19509333 
Q9WU82;CTNNB1;Q63429;UBC;0.21;15371442 
Q9WUD9;SRC;P06211;ESR1;0.376;18571832 
Q9WUD9;SRC;P25095;AGTR1;0.21;16151024 
Q9WUD9;SRC;P32577;CSK;0.21;16511561 
Q9WUD9;SRC;P70498;PLD2;0.21;15705590 
Q9WUD9;SRC;Q56B11;PELP1;0.21;18571832 
Q9WUD9;SRC;Q792H5;CELF2;0.309;17855367 
Q9WUF4;VAMP8;G3V7P1;STX12;0.21;17717530 
Q9WUF4;VAMP8;P32851;STX1A;0.21;17717530 
Q9WUF4;VAMP8;P60881;SNAP25;0.21;17717530 
Q9WUF4;VAMP8;Q63635;STX6;0.21;17717530 
Q9WUH9;FBN2;P16599;TNF;0.236;17623297 
Q9WUL3;PTPRK;P07825;SYP;0.126;11931740 
Q9WUL3;PTPRK;P31016;DLG4;0.126;11931740 
Q9WUL3;PTPRK;P97879;GRIP1;0.21;11931740 
Q9WUN0;EEF1D;P21708;MAPK3;0.236;19935650 
Q9WUP8;ITGA8;P61589;RHOA;0.21;17300786 
Q9WV48;SHANK1;O55043;ARHGEF7;0.21;12626503 
Q9WV48;SHANK1;P19490;GRIA1;0.126;10488079 
Q9WVB9;DVL1;O70239;AXIN1;0.523;11113207 
Q9WVC7;AKAP6;P20651;PPP3CB;0.376;19883655 
Q9WVI4;GUCY1A2;Q62696;DLG1;0.21;11572861 
Q9WVI4;GUCY1A2;Q62936;DLG3;0.21;11572861 
Q9WVI4;GUCY1A2;Q63622;DLG2;0.21;11572861 
Q9WVJ4;SYNJ2BP;O35413;SORBS2;0.376;15659545 
P21708;MAPK3;B0BN79;AGAP3;0.126;19935650 
P21708;MAPK3;B0BND8;CENTG2;0.236;19935650 
P11345;RAF1;B0K019;BAG1;0.21;14978028 
P47196;AKT1;B0K019;BAG1;0.21;16116448 
P63018;HSPA8;B0K019;BAG1;0.21;14978028 
P62161;CALM3;B0LPN4;RYR2;0.376;23233753 
Q64548;RTN1;B0LPN4;RYR2;0.376;23454728 
P21708;MAPK3;B1WBQ8;GAPDHS;0.126;19935650 
P21708;MAPK3;B1WBY8;HDAC2;0.236;19935650 
P21708;MAPK3;B1WC60;PWWP2B;0.236;19935650 
P21708;MAPK3;B1WC96;SH3D21;0.236;19935650 
P21708;MAPK3;B2GUY3;PABPC4;0.126;19935650 
P21708;MAPK3;B2GUZ3;MTHFD1L;0.126;19935650 
P21708;MAPK3;B2GV73;ARPC3;0.236;19935650 
P21708;MAPK3;B2GVB3;ACTN3;0.126;19935650 
Q01129;DCN;B2RYG6;OTUB1;0.376;22279542 
P21708;MAPK3;B2RYP8;TUBGCP2;0.236;19935650 
P21708;MAPK3;B2RYX1;UQCR10;0.236;19935650 
P21708;MAPK3;B2RZ72;ARPC4;0.236;19935650 
P21708;MAPK3;B2RZC6;ILF2;0.126;19935650 
P21708;MAPK3;B2RZD1;SEC61B;0.126;19935650 
Q9R0W0;MGLUR1A;B4F775;GOPC;0.21;19027007 
Q68FQ2;JAM3;B4F7E7;MPP5;0.21;18621709 
Q6B4M5;PARD6A;B4F7E7;MPP5;0.21;18621709 
Q9WUD9;SRC;B4F7E7;MPP5;0.21;18621709 
O35078;DAO;B5DEH2;ERLIN2;0.126;21700703 
O35078;DAO;B5DF91;B5DF91;0.126;21700703 
O35078;DAO;G3V7P1;STX12;0.126;21700703 
O35078;DAO;O08838;AMPH;0.126;21700703 
O35078;DAO;O08839;BIN1;0.126;21700703 
O35078;DAO;O35078;DAO;0.155;21700703 
O35303;DNM1L;O35078;DAO;0.126;21700703 
O35353;GNB4;O35078;DAO;0.126;21700703 
O35458;SLC32A1;O35078;DAO;0.126;21700703 
O35796;C1QBP;O35078;DAO;0.126;21700703 
O35921;SLC1A6;O35078;DAO;0.126;21700703 
O70257;STX7;O35078;DAO;0.126;21700703 
O70277;TRIM3;O35078;DAO;0.126;21700703 
P01830;THY1;O35078;DAO;0.126;21700703 
P02401;RPLP2;O35078;DAO;0.126;21700703 
P02650;APOE;O35078;DAO;0.126;21700703 
P05708;HK1;O35078;DAO;0.126;21700703 
P05712;RAB2A;O35078;DAO;0.126;21700703 
P08050;GJA1;O35078;DAO;0.126;21700703 
P09527;RAB7A;O35078;DAO;0.126;21700703 
P09951;SYN1;O35078;DAO;0.126;21700703 
P13596;NCAM1;O35078;DAO;0.126;21700703 
P17074;RPS19;O35078;DAO;0.126;21700703 
P18596;ATP2A3;O35078;DAO;0.126;21700703 
P19234;NDUFV2;O35078;DAO;0.126;21700703 
P19493;GRIA4;O35078;DAO;0.126;21700703 
P19643;MAOB;O35078;DAO;0.126;21700703 
P19945;RPLP0;O35078;DAO;0.126;21700703 
P20788;UQCRFS1;O35078;DAO;0.126;21700703 
P21531;RPL3;O35078;DAO;0.126;21700703 
P21913;SDHB;O35078;DAO;0.126;21700703 
P23358;RPL12;O35078;DAO;0.126;21700703 
P25286;ATP6V0A1;O35078;DAO;0.126;21700703 
P27952;RPS2;O35078;DAO;0.126;21700703 
P29314;RPS9;O35078;DAO;0.126;21700703 
P31596;SLC1A2;O35078;DAO;0.126;21700703 
P34926;MAP1A;O35078;DAO;0.126;21700703 
P38650;DYNC1H1;O35078;DAO;0.126;21700703 
P46101;DPP6;O35078;DAO;0.126;21700703 
P47198;RPL22;O35078;DAO;0.126;21700703 
P47863;AQP4;O35078;DAO;0.126;21700703 
P48284;CA4;O35078;DAO;0.126;21700703 
P52303;AP1B1;O35078;DAO;0.126;21700703 
P52873;PC;O35078;DAO;0.126;21700703 
P53534;PYGB;O35078;DAO;0.126;21700703 
P54921;NAPA;O35078;DAO;0.126;21700703 
P56558;OGT;O35078;DAO;0.126;21700703 
P61751;ARF4;O35078;DAO;0.126;21700703 
P62142;PPP1CB;O35078;DAO;0.126;21700703 
P62243;RPS8;O35078;DAO;0.126;21700703 
P62271;RPS18;O35078;DAO;0.126;21700703 
P62632;EEF1A2;O35078;DAO;0.126;21700703 
P62703;RPS4X;O35078;DAO;0.126;21700703 
P62755;RPS6;O35078;DAO;0.126;21700703 
P62815;ATP6V1B2;O35078;DAO;0.126;21700703 
P62890;RPL30;O35078;DAO;0.126;21700703 
P62909;RPS3;O35078;DAO;0.126;21700703 
P62944;AP2B1;O35078;DAO;0.126;21700703 
P62963;PFN1;O35078;DAO;0.126;21700703 
P63088;PPP1CC;O35078;DAO;0.126;21700703 
P63319;PRKCG;O35078;DAO;0.126;21700703 
P68403;PRKCB;O35078;DAO;0.126;21700703 
P70615;LMNB1;O35078;DAO;0.126;21700703 
P82471;GNAQ;O35078;DAO;0.126;21700703 
P84083;ARF5;O35078;DAO;0.126;21700703 
P85834;TUFM;O35078;DAO;0.126;21700703 
P97685;NFASC;O35078;DAO;0.126;21700703 
P97846;CNTNAP1;O35078;DAO;0.126;21700703 
Q08877;DNM3;O35078;DAO;0.126;21700703 
Q1WIM3;CADM3;O35078;DAO;0.126;21700703 
Q3B8Q0;MAPRE2;O35078;DAO;0.126;21700703 
Q3KR86;IMMT {ECO:0000312|EMBL:AAI05842.1, ECO:0000312|RGD:1310684};O35078;DAO;0.126;21700703 
Q4FZT0;STOML2;O35078;DAO;0.126;21700703 
Q4KM74;SEC22B;O35078;DAO;0.126;21700703 
Q4KM98;MFF;O35078;DAO;0.126;21700703 
Q4QQV3;FAM162A;O35078;DAO;0.126;21700703 
Q568Z9;PHYHIP;O35078;DAO;0.126;21700703 
Q5BK63;NDUFA9;O35078;DAO;0.126;21700703 
Q5FVI6;ATP6V1C1;O35078;DAO;0.126;21700703 
Q5XIF3;NDUFS4;O35078;DAO;0.126;21700703 
Q62636;RAP1B;O35078;DAO;0.126;21700703 
Q62698;DYNC1LI2;O35078;DAO;0.126;21700703 
Q62718;NTM;O35078;DAO;0.126;21700703 
Q62768;UNC13A;O35078;DAO;0.126;21700703 
Q62950;CRMP1;O35078;DAO;0.126;21700703 
Q63269;ITPR3;O35078;DAO;0.126;21700703 
Q63362;NDUFA5;O35078;DAO;0.126;21700703 
Q63633;SLC12A5;O35078;DAO;0.126;21700703 
Q641Y0;DDOST;O35078;DAO;0.126;21700703 
Q641Y2;NDUFS2 {ECO:0000312|EMBL:AAH82067.1};O35078;DAO;0.126;21700703 
Q68A21;PURB;O35078;DAO;0.126;21700703 
Q68FX0;IDH3B;O35078;DAO;0.126;21700703 
Q6AXV4;SAMM50;O35078;DAO;0.126;21700703 
Q6AY30;SCCPDH;O35078;DAO;0.126;21700703 
Q6P747;HP1BP3;O35078;DAO;0.126;21700703 
Q78P75;DYNLL2;O35078;DAO;0.126;21700703 
Q80W89;NDUFA11;O35078;DAO;0.126;21700703 
Q811U3;ERC1;O35078;DAO;0.126;21700703 
Q8CFG6;CACNA2D2;O35078;DAO;0.126;21700703 
Q8K3M6;ERC2;O35078;DAO;0.126;21700703 
Q920L2;SDHA;O35078;DAO;0.126;21700703 
Q9EPH8;PABPC1;O35078;DAO;0.126;21700703 
Q9JHY2;SFXN3;O35078;DAO;0.126;21700703 
Q9JI66;SLC4A4;O35078;DAO;0.126;21700703 
Q9JK11;RTN4;O35078;DAO;0.126;21700703 
Q9JKS6;PCLO;O35078;DAO;0.126;21700703 
Q9JLT0;MYH10;O35078;DAO;0.126;21700703 
Q9QXY2;SRCIN1;O35078;DAO;0.126;21700703 
Q9QYF3;MYO5A;O35078;DAO;0.126;21700703 
Q9Z0J8;NEGR1;O35078;DAO;0.126;21700703 
Q9Z1E1;FLOT1;O35078;DAO;0.126;21700703 
Q9Z270;VAPA;O35078;DAO;0.126;21700703 
P35213;YWHAB;O35147;BAD;0.21;18779656 
P37377;SNCA;O35147;BAD;0.21;10407019 
P53563;BCL2L1;O35147;BAD;0.21;18347331 
P41542;USO1;O35152;BET1L {ECO:0000312|RGD:71051};0.236;11927603 
Q08851;STX5;O35152;BET1L {ECO:0000312|RGD:71051};0.236;11927603 
Q5EGY4;YKT6;O35152;BET1L {ECO:0000312|RGD:71051};0.126;11927603 
Q62931;GOSR1;O35152;BET1L {ECO:0000312|RGD:71051};0.236;11927603 
P41542;USO1;O35165;GOSR2;0.236;11927603 
Q08851;STX5;O35165;GOSR2;0.236;11927603 
Q4KM74;SEC22B;O35165;GOSR2;0.126;11927603 
Q62896;BET1;O35165;GOSR2;0.126;11927603 
O35179;SH3GL2;O08838;AMPH;0.309;9315708 
Q62634;SLC17A7;O35179;SH3GL2;0.309;16606361 
Q62910;SYNJ1;O35179;SH3GL2;0.21;14704270 
Q9JJ19;SLC9A3R1;O35240;ASIC3;0.583;16234233 
P08427;SFTPA1;O35244;PRDX6;0.376;16330552 
P62142;PPP1CB;O35274;PPP1R9B;0.126;18216290 
P63088;PPP1CC;O35274;PPP1R9B;0.309;18216290 
P21708;MAPK3;O35314;CHGB;0.126;19935650 
O35346;PTK2;F1M4A0;TJP1;0.21;19470647 
Q5XI86;PTRH2;O35346;PTK2;0.454;21383007 
Q63767;BCAR1;O35346;PTK2;0.21;9038154 
Q6P6T5;OCLN;O35346;PTK2;0.21;19470647 
P16599;TNF;O35359;O35359;0.236;17623297 
P63045;VAMP2;O35394;RABAC1;0.523;9341137 
Q6NYB7;RAB1A;O35394;RABAC1;0.309;9341137 
Q9JKS6;PCLO;O35394;RABAC1;0.126;10707984 
Q63429;UBC;O35412;SIPA1L1;0.21;23850969 
O35964;SH3GL1;O35413;SORBS2;0.309;15659545 
P16086;SPTAN1;O35413;SORBS2;0.21;15659545 
P97836;DLGAP1;O35413;SORBS2;0.21;10521485 
Q62910;SYNJ1;O35413;SORBS2;0.454;15659545 
P60881;SNAP25;O35430;APBA1;0.309;9395480 
Q02294;CACNA1B;O35430;APBA1;0.21;10455105 
Q62915;CASK;O35430;APBA1;0.376;9753324 
Q63373;NRXN1;O35430;APBA1;0.126;11036064 
Q8R4T5;GRASP;O35431;APBA2;0.507;12586822 
Q924K2;FAF1;O35433;TRPV1;0.569;16510717 
P21708;MAPK3;O35511;PP2A ARA;0.236;19935650 
O35550;RABEP1;O35550;RABEP1;0.332;22841712 
Q63472;KCNH1;O35550;RABEP1;0.376;22841712 
P16599;TNF;O35552;PFKFB3;0.236;17623297 
Q62799;ERBB3;O35569;NRG2;0.309;9348101 
Q62956;ERBB4;O35569;NRG2;0.309;9348101 
P21708;MAPK3;O35763;MSN;0.236;19935650 
Q64259;VHL;O35800;HIF1A;0.21;19950214 
Q6JHU9;CREBBP;O35800;HIF1A;0.21;19912340 
P21708;MAPK3;O35814;STIP1;0.126;19935650 
P68370;TUBA1A;O35815;ATXN3;0.376;19666135 
O35876;SMN1;O35821;MYBBP1A;0.081;19928837 
Q62950;CRMP1;O35826;GNE;0.376;17118363 
Q63722;JAG1;O35889;MLLT4;0.309;9707552 
O35956;SLC22A6;O35956;SLC22A6;0.332;21896487 
Q62940;NEDD4;O35956;SLC22A6;0.21;27226107 
Q63429;UBC;O35964;SH3GL1;0.21;15659545 
O35987;NSFL1C;O35987;NSFL1C;0.332;16601695 
P46462;VCP;O35987;NSFL1C;0.914;20691684 12847084 16601695 10811609 
Q9ES54;NPLOC4;O35987;NSFL1C;0.21;10811609 
Q9JLU4;SHANK3;Q9JHL4;DBNL;0.21;15014124 
Q9JHK1;CASP9;Q9EPV5;APAF1;0.21;16979168 
P05182;CYP2E1;O88600;HSPA4;0.309;19401463 
P17325;JUN;P05182;CYP2E1;0.21;15189336 
P52909;JUND;P05182;CYP2E1;0.21;15189336 
P82995;HSP90AA1;P05182;CYP2E1;0.309;19401463 
P21708;MAPK3;P05197;EEF2;0.236;19935650 
P21708;MAPK3;P05371;CLU;0.236;19935650 
Q9Z0N7;KCNQ1;Q63429;UBC;0.21;20861072 
Q9Z0U4;GABBR1;Q63429;UBC;0.309;24114844 22871113 
Q9Z0U4;GABBR1;Q9Z0U4;GABBR1;0.236;21552208 
Q9Z0V6;PRDX3;P21708;MAPK3;0.126;19935650 
Q9Z0W5;PACSIN1;P21575;DNM1;0.507;17437541 
Q9Z0W7;CLIC4;P60711;ACTB;0.21;11563969 
Q9Z0W7;CLIC4;P62260;YWHAE;0.21;11563969 
Q9Z136;TSC1;P08424;REN1;0.126;10807585 
Q9Z136;TSC1;P49816;TSC2;0.309;10807585 12147258 
Q9Z136;TSC1;Q6PDU5;NGFRAP1;0.21;17355907 
